seed,sigma,correlation,estimator,corr_theta,spear_theta,corr_beta,spear_beta,corr_X_missing,rmse_theta,rmse_beta,rmse_X
0,0.5,none,EM,0.987128,0.992997,0.988922,0.995652,0.953161,0.459775,0.448719,0.586917
0,0.5,none,Day,0.987128,0.993233,0.100128,0.095837,0.729849,0.459775,1.475347,1.26689
0,0.5,none,Imp,0.98764,0.993232,0.980604,0.988696,0.951847,0.449436,0.462843,0.596812
1,0.5,none,EM,0.983644,0.992511,0.996383,0.992174,0.957615,0.537997,0.382594,0.585254
1,0.5,none,Day,0.983645,0.99226,0.273007,0.265396,0.616598,0.537997,1.727757,1.537729
1,0.5,none,Imp,0.969455,0.979778,0.993906,0.991301,0.954551,0.564952,0.374369,0.612846
2,0.5,none,EM,0.985933,0.993289,0.995907,0.989565,0.96244,0.549509,0.414224,0.585622
2,0.5,none,Day,0.985933,0.993289,0.350901,0.265396,0.77513,0.549509,1.534665,1.325521
2,0.5,none,Imp,0.97617,0.978043,0.991119,0.991085,0.943728,0.613352,0.467639,0.652671
3,0.5,none,EM,0.973197,0.9919,0.992049,0.989565,0.953944,0.911999,0.639166,0.668981
3,0.5,none,Day,0.973197,0.991858,0.537609,0.567652,0.687478,0.911998,1.896757,1.589475
3,0.5,none,Imp,0.923275,0.931936,0.994093,0.991297,0.928324,1.00069,0.597974,0.773438
4,0.5,none,EM,0.988823,0.992984,0.996238,0.993043,0.962589,0.532967,0.419243,0.586546
4,0.5,none,Day,0.988823,0.992984,0.471795,0.427582,0.794378,0.532967,1.538551,1.327114
4,0.5,none,Imp,0.970565,0.972183,0.983499,0.970211,0.936575,0.633372,0.513986,0.686654
5,0.5,none,EM,0.976254,0.995318,0.9958,0.984127,0.953452,0.561579,0.288098,0.571707
5,0.5,none,Day,0.976254,0.995276,0.280467,0.265396,0.754829,0.56158,1.412142,1.304883
5,0.5,none,Imp,0.972834,0.987368,0.993172,0.9926,0.949011,0.577879,0.312222,0.59677
6,0.5,none,EM,0.975035,0.987148,0.989519,0.994564,0.95065,0.673919,0.553214,0.610709
6,0.5,none,Day,0.975035,0.987357,0.500881,0.398093,0.775431,0.673919,1.511728,1.247416
6,0.5,none,Imp,0.956099,0.968435,0.978229,0.989117,0.917578,0.759502,0.632059,0.699177
7,0.5,none,EM,0.987268,0.989232,0.995732,0.996522,0.961237,0.501038,0.443129,0.592841
7,0.5,none,Day,0.987268,0.989232,0.333173,0.272768,0.645737,0.501038,1.800249,1.576512
7,0.5,none,Imp,0.971347,0.969136,0.993541,0.993692,0.946087,0.558649,0.456187,0.647633
8,0.5,none,EM,0.986513,0.991719,0.997555,0.995869,0.961063,0.685426,0.396233,0.605448
8,0.5,none,Day,0.986513,0.991719,0.259453,0.265396,0.803919,0.685426,1.449967,1.269888
8,0.5,none,Imp,0.984658,0.984463,0.993048,0.982601,0.95174,0.705879,0.435699,0.640995
9,0.5,none,EM,0.980258,0.995207,0.996831,0.996522,0.948694,0.608309,0.342997,0.593237
9,0.5,none,Day,0.980258,0.995207,0.487037,0.493931,0.774095,0.608309,1.355222,1.247701
9,0.5,none,Imp,0.960155,0.974583,0.995707,0.994783,0.928345,0.674773,0.33912,0.671687
10,0.5,none,EM,0.988261,0.989371,0.99612,1.0,0.957654,0.382754,0.394599,0.558724
10,0.5,none,Day,0.988261,0.989329,0.70698,0.715093,0.795308,0.382753,1.301453,1.183104
10,0.5,none,Imp,0.910481,0.919342,0.989965,0.993041,0.899297,0.682119,0.452606,0.774153
11,0.5,none,EM,0.989785,0.99308,0.996549,0.993913,0.958417,0.490048,0.43808,0.579862
11,0.5,none,Day,0.989785,0.99308,0.240529,0.265396,0.594441,0.490049,1.898165,1.641361
11,0.5,none,Imp,0.980086,0.983113,0.991575,0.988691,0.957378,0.495892,0.43636,0.605769
